[Name]
Velocity Profile (FLUENT) at /LINE:outlet line

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.14726329e+00, 6.46464676e-02
1.12096810e+00, 6.56565651e-02
1.09422016e+00, 6.66666627e-02
1.06747270e+00, 6.76767603e-02
1.04072595e+00, 6.86868578e-02
1.01397943e+00, 6.96969554e-02
9.84963894e-01, 7.07070529e-02
9.55543160e-01, 7.17171505e-02
9.26122785e-01, 7.27272481e-02
8.96703184e-01, 7.37373456e-02
8.67284060e-01, 7.47474432e-02
8.36796403e-01, 7.57575408e-02
8.06039691e-01, 7.67676383e-02
7.75282264e-01, 7.77777359e-02
7.44524360e-01, 7.87878335e-02
7.13765919e-01, 7.97979310e-02
6.80424869e-01, 8.08080286e-02
6.47002101e-01, 8.18181261e-02
6.13578677e-01, 8.28282237e-02
5.80154657e-01, 8.38383213e-02
5.46729982e-01, 8.48484188e-02
5.12057424e-01, 8.58585164e-02
4.77296352e-01, 8.68686140e-02
4.42535877e-01, 8.78787115e-02
4.07776147e-01, 8.88888091e-02
3.72775584e-01, 8.98989066e-02
3.35353762e-01, 9.09090042e-02
2.97931969e-01, 9.19191018e-02
2.60510147e-01, 9.29291993e-02
2.23088354e-01, 9.39392969e-02
1.85580179e-01, 9.49493945e-02
1.46821976e-01, 9.59594920e-02
1.08063750e-01, 9.69695896e-02
6.93055466e-02, 9.79796872e-02
3.05473283e-02, 9.89897847e-02
0.00000000e+00, 9.99998823e-02


[Name]
Analytical Solution at D:/VAIDEESH/ANSYS project files/Temperature_profile/Temperature_profile_files/user_files/pipe_fdev.csv

[Data]
Velocity u [ m s^-1 ],Y [ m ]
2.00000000e+00, 0.00000000e+00
1.99919999e+00, 2.00000009e-03
1.99679995e+00, 4.00000019e-03
1.99280000e+00, 6.00000005e-03
1.98720002e+00, 8.00000038e-03
1.98000002e+00, 9.99999978e-03
1.97119999e+00, 1.20000001e-02
1.96080005e+00, 1.40000004e-02
1.94879997e+00, 1.60000008e-02
1.93519998e+00, 1.79999992e-02
1.91999996e+00, 1.99999996e-02
1.90320003e+00, 2.19999999e-02
1.88479996e+00, 2.40000002e-02
1.86479998e+00, 2.60000005e-02
1.84319997e+00, 2.80000009e-02
1.82000005e+00, 2.99999993e-02
1.79519999e+00, 3.20000015e-02
1.76880002e+00, 3.40000018e-02
1.74080002e+00, 3.59999985e-02
1.71120000e+00, 3.79999988e-02
1.67999995e+00, 3.99999991e-02
1.64719999e+00, 4.19999994e-02
1.61280000e+00, 4.39999998e-02
1.57679999e+00, 4.60000001e-02
1.53919995e+00, 4.80000004e-02
1.50000000e+00, 5.00000007e-02
1.45920002e+00, 5.20000011e-02
1.41680002e+00, 5.40000014e-02
1.37279999e+00, 5.60000017e-02
1.32720006e+00, 5.79999983e-02
1.27999997e+00, 5.99999987e-02
1.23119998e+00, 6.19999990e-02
1.18079996e+00, 6.40000030e-02
1.12880003e+00, 6.59999996e-02
1.07519996e+00, 6.80000037e-02
1.01999998e+00, 7.00000003e-02
9.63199973e-01, 7.19999969e-02
9.04799998e-01, 7.40000010e-02
8.44799995e-01, 7.59999976e-02
7.83200026e-01, 7.80000016e-02
7.20000029e-01, 7.99999982e-02
6.55200005e-01, 8.20000023e-02
5.88800013e-01, 8.39999989e-02
5.20799994e-01, 8.60000029e-02
4.51200008e-01, 8.79999995e-02
3.79999995e-01, 9.00000036e-02
3.07200015e-01, 9.20000002e-02
2.32800007e-01, 9.39999968e-02
1.56800002e-01, 9.60000008e-02
7.91999996e-02, 9.79999974e-02
0.00000000e+00, 1.00000001e-01


